species_02,18.45,-95.25
species_02,,
species_02,19.34166667,-94.89166667
species_02,18.33916667,-94.89
species_02,18.33916667,-94.89
species_02,18.58321944,-95.10833333
species_02,18.38333333,-94.95
species_02,,
species_02,,
species_02,,
species_02,19.34166667,-94.89166667
species_02,18.33333333,-94.88333333
species_02,18.5609,-95.2191
species_02,18.56088889,-95.21911111
species_02,18.5609,-95.2191
species_02,18.5543,-95.2241
species_02,18.5543,-95.2241
species_02,18.5543,-95.2241
species_02,18.6,-95.15
species_02,18.36666667,-94.9
species_02,18.5775,-95.21083333
species_02,18.5775,-95.21083333
species_02,18.5775,-95.21083333
species_02,18.5775,-95.21083333
species_02,17.53,-94.02888889
species_02,18.39166667,-94.8875
species_02,18.39166667,-94.8875
species_02,,
species_02,,
species_02,,
species_02,,
species_02,18.33333333,-94.35
species_02,18.49347222,-95.16961111
species_02,18.54297222,-95.12227778
species_02,18.54297222,-95.12227778
species_02,18.54296667,-95.12226667
species_02,18.55833333,-95.24166667
species_02,18.3,-94.7
species_02,18.320833,-94.84
species_02,18.3480204,-94.8585158
species_02,18.339722,-94.862222
species_02,18.241667,-94.875
species_02,18.391667,-94.875
species_02,18.333333,-94.883333
species_02,18.391667,-94.8875
species_02,18.339167,-94.89
species_02,18.341667,-94.891667
species_02,18.308333,-94.891667
species_02,18.599722,-95.108611
species_02,18.5543,-95.2241
